,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
339,LG,LG OLED A2,65,Ultra HD (4K),LED,"Alpha7 AI, AI Pic...",556,45,4.0,44999,44999,webOS,2022,0.0
340,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1282,157,4.1,21490,21490,Google,2024,0.0
341,Sansui,Sansui,32,HD Ready,LED,Not Specified,8,0,3.5,12990,49999,Google,2023,74.02
342,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",8304,929,4.0,28999,59999,Google,2025,51.67
343,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",25710,2989,4.2,29999,45900,VIDAA,2025,34.64
344,Samsung,Samsung 8100,43,Ultra HD (4K),LED,Not Specified,384,61,4.2,27299,27299,Tizen,2021,0.0
346,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,8304,929,4.0,10499,19999,Google,2025,47.5
347,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,22,0,4.0,13499,79900,Coolita,2025,83.11
348,Samsung,Samsung The Frame Series,43,Ultra HD (4K),LED,Not Specified,3,0,3.0,64990,179990,Tizen,2024,63.89
349,TCL,TCL T6C,75,Ultra HD (4K),LED,HDR 10+ | Dolby Vision- ...,1282,157,4.1,40990,40990,Google,2025,0.0
350,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,7,0,4.6,12990,66900,Android,2025,80.58
351,Samsung,Samsung,55,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,29990,29990,Tizen,2024,0.0
352,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,5721,807,4.2,7490,13999,Android,2024,46.5
353,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,36,6,4.5,7699,599990,Coolita,2025,98.72
354,SONY,SONY Bravia,85,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,39999,39999,Android,2022,0.0
355,Coocaa,Coocaa Y74 Pro,43,Ultra HD (4K),LED,Not Specified,1695,365,4.2,21999,28990,Google,2025,24.12
356,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,18318,1277,4.3,7590,22990,Android,2025,66.99
357,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,951,148,4.1,5890,24990,Android,2024,76.43
358,Samsung,Samsung,32,HD Ready,LED,SAMSUNG TV PLUS,9,2,4.0,13999,71990,Tizen,2022,80.55
359,LG,LG,55,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,22990,22990,webOS,2021,0.0
360,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,139990,Android,2025,95.79
361,iFFALCON,iFFALCON U75,75,Ultra HD (4K),LED,144 Hz VRR | Wide Co...,7,0,4.6,59999,59999,Google,2025,0.0
362,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",8304,929,4.0,31999,34990,Google,2024,8.55
363,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,25710,2989,4.2,19999,139900,Android,2023,85.7
364,Samsung,Samsung,75,Ultra HD (4K),LED,Not Specified,10,0,3.7,89990,119990,Tizen,2025,25.0
365,TCL,TCL C6K,55,Ultra HD (4K),LED,512+ Local Dimming Z...,9,2,4.0,44999,44999,Google,2025,0.0
366,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",1282,157,4.1,21999,49999,Google,2024,56.0
367,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",6295,918,4.3,28999,124990,Google,2025,76.8
